clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-12_0185,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0185,0.3,0.2,0.2,0.3,49.19905464434062,30.292314127408314,68,2,hier_jaccard_002,hier_jaccard_001,stl_midamerica_to_st_louis_union_station_2025-07-12_0185,1.181713697297646,109,76.7605633802817,frechet_merged_001,"hier_jaccard_002, hier_jaccard_003, hier_jaccard_007"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-12_0209,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0209,0.4,0.0,0.5,0.1,46.66251449753805,31.68982918337168,67,6,hier_jaccard_006,hier_jaccard_006,stl_midamerica_to_st_louis_union_station_2025-07-12_0209,0.7446913400075812,31,21.830985915492956,frechet_merged_002,"hier_jaccard_006, hier_jaccard_008"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-12_0069,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0069,0.1,0.0,0.2,0.7,50.250864672051854,24.886283217539845,68,16,hier_jaccard_016,hier_jaccard_017,stl_midamerica_to_st_louis_union_station_2025-07-12_0069,0.0,2,1.408450704225352,frechet_merged_003,hier_jaccard_016
