route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"02, 03, 04, 05, 06, 07, 09, 11, 13, 16",10,191,002=54; 003=30; 004=27; 005=24; 006=15; 007=14; 009=10; 011=8; 013=6; 016=3,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"02, 03, 06, 07, 08, 16",6,142,002=51; 003=44; 006=21; 007=14; 008=10; 016=2,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 04",4,246,001=100; 002=66; 003=47; 004=33,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
