route_run_id,weight_id,weight_set,is_grid_weight,is_equal_weight,route_pair,origin_label,destination_label,origin_lat,origin_lon,destination_lat,destination_lon,traffic_dataset,distance_weight,population_weight,traffic_weight,airspace_weight,path_nodes,elapsed_seconds,status,failure_reason,route_distance_km,distance_norm_sum,population_norm_sum,traffic_norm_sum,airspace_norm_sum,total_weighted_score,cluster_id,cluster_size,similarity_threshold,dominant_weight_category,representative_route_run_id,representative_mean_similarity,cluster_weight_space_percent
rr_all_0287,w_0287,equal_weight,False,True,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.25,0.25,0.25,0.25,110,0.09681819996330887,success,,67.34062043356936,95.23401871506293,47.489331728437016,55.67548202919181,35.60265649088014,58.50037224089298,cluster_001,150,0.25,equal_weight,rr_all_0287,0.3822146419669117,52.26480836236934
rr_all_0025,w_0025,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.0,0.2,0.3,0.5,377,0.0992658999748528,success,,217.4514183885762,307.52274504009836,53.53767408867688,14.771664936776798,11.262573459060505,20.770321028298667,cluster_002,89,0.25,airspace_dominant,rr_all_0025,0.47200760597589553,31.010452961672474
rr_all_0170,w_0170,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.3,0.0,0.3,0.4,110,0.08458110003266484,success,,66.0979797464505,93.47665940219602,86.5896635865198,52.166309881857224,31.966772224685283,56.479599675090085,cluster_003,28,0.25,airspace_dominant,rr_all_0170,0.8166315031606874,9.75609756097561
rr_all_0203,w_0203,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.4,0.0,0.0,0.6,110,0.060036799986846745,success,,65.68376618407018,92.89087296456321,92.88891291931614,67.9485987273195,30.289461657984273,55.330026180615846,cluster_004,7,0.25,airspace_dominant,rr_all_0203,0.9608843537414966,2.4390243902439024
rr_all_0022,w_0022,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.0,0.2,0.0,0.8,333,0.11505500006023794,success,,211.37120874539053,298.9240301006983,60.32324188078367,98.83063727144753,0.6161036281315391,12.557531278661966,cluster_005,5,0.25,airspace_dominant,rr_all_0022,0.7527805935374043,1.7421602787456445
rr_all_0131,w_0131,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.2,0.1,0.0,0.7,114,0.1251638000831008,success,,66.85533905933013,94.54772721405203,74.69214676131779,62.602784284788314,29.789810585937804,47.23162752909865,cluster_006,2,0.25,airspace_dominant,rr_all_0131,0.9119999999999999,0.6968641114982579
rr_all_0001,w_0001,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.0,0.0,0.0,1.0,422,0.08671569998841733,success,,239.3501831452554,338.49227515798174,201.08417975683145,172.5695541606528,0.20658696230671597,0.20658696230671597,cluster_007,1,0.25,airspace_dominant,rr_all_0001,1.0,0.34843205574912894
rr_all_0002,w_0002,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.0,0.0,0.1,0.9,337,0.10299970000050962,success,,208.24105611052596,294.4973257922075,183.09713976301202,57.875256526347876,0.7107334847155602,6.427185788878791,cluster_008,1,0.25,airspace_dominant,rr_all_0002,1.0,0.34843205574912894
rr_all_0067,w_0067,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.1,0.0,0.0,0.9,272,0.12840519996825606,success,,147.92640687118114,209.1995308287858,189.47195020927668,112.44466249881103,1.3234061010238871,22.11101857380008,cluster_009,1,0.25,airspace_dominant,rr_all_0067,1.0,0.34843205574912894
rr_all_0068,w_0068,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.1,0.0,0.1,0.8,301,0.1509859999641776,success,,165.53300858896205,234.0990257651874,153.1552356368719,67.68647985283023,1.081461495376757,31.043719758103173,cluster_010,1,0.25,airspace_dominant,rr_all_0068,1.0,0.34843205574912894
rr_all_0077,w_0077,grid_0_10,True,False,clow_to_chicago_union_station,Clow International Airport,Chicago Union Station,41.695923717435235,-88.12876224517822,41.87838051825937,-87.63905525207521,ohare_2026-03-07_1s_15nm_bbox,0.1,0.1,0.0,0.8,295,0.15489350003190339,success,,174.13098833541548,246.25840533154047,67.66686113100546,110.36023373860912,0.7962761442582494,32.0295475616612,cluster_011,1,0.25,airspace_dominant,rr_all_0077,1.0,0.34843205574912894
