clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-01-12_0183,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0183,0.3,0.2,0.0,0.5,48.66685213560263,30.668041392314706,68,2,hier_jaccard_002,hier_jaccard_001,stl_midamerica_to_st_louis_union_station_2026-01-12_0183,1.2471791320093146,91,63.63636363636363,frechet_merged_001,"hier_jaccard_002, hier_jaccard_005, hier_jaccard_008, hier_jaccard_012"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-01-12_0241,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0241,0.5,0.1,0.3,0.1,46.66387160530663,36.17729708595888,67,4,hier_jaccard_004,hier_jaccard_004,stl_midamerica_to_st_louis_union_station_2026-01-12_0241,1.1661649007462527,44,30.76923076923077,frechet_merged_002,"hier_jaccard_004, hier_jaccard_006"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-01-12_0255,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0255,0.6,0.0,0.2,0.2,46.67359092793317,40.0354157882666,67,14,hier_jaccard_014,hier_jaccard_013,stl_midamerica_to_st_louis_union_station_2026-01-12_0255,1.0964791954659028,5,3.4965034965034967,frechet_merged_003,hier_jaccard_014
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-01-12_0198,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0198,0.3,0.5,0.0,0.2,51.93172241795522,27.707194361614643,71,16,hier_jaccard_016,hier_jaccard_016,stl_midamerica_to_st_louis_union_station_2026-01-12_0198,0.3126661332678431,3,2.097902097902098,frechet_merged_004,hier_jaccard_016
