route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"02, 03, 04, 05, 09, 08, 10",7,151,002=34; 003=26; 004=25; 005=24; 008=15; 009=15; 010=12,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"02, 04, 05, 06, 08, 12, 14, 16",8,143,002=45; 004=25; 005=24; 006=19; 008=13; 012=9; 014=5; 016=3,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 04, 06",5,267,001=121; 002=52; 003=51; 004=32; 006=11,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
