clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_jaccard_similarity,cluster_size,cluster_weight_space_percent
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0216,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0216,0.4,0.1,0.5,0.0,72.98775241359242,44.66160808034882,96,1,hier_jaccard_001,hier_jaccard_003,stl_midamerica_to_st_louis_lambert_2026-03-07_0216,0.498358040082276,44,29.333333333333332
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0248,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0248,0.5,0.3,0.1,0.1,72.31093350620502,53.66962376534619,97,2,hier_jaccard_002,hier_jaccard_001,stl_midamerica_to_st_louis_lambert_2026-03-07_0248,0.6498429965765324,41,27.333333333333332
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0201,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0201,0.3,0.6,0.0,0.1,74.86810400551238,38.91099397045279,101,4,hier_jaccard_004,hier_jaccard_005,stl_midamerica_to_st_louis_lambert_2026-03-07_0201,0.6443126790908279,24,16.0
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0233,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0233,0.5,0.0,0.1,0.4,71.90174228364198,60.87024860355103,96,5,hier_jaccard_005,hier_jaccard_010,stl_midamerica_to_st_louis_lambert_2026-03-07_0233,0.7682903879189302,21,14.0
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0217,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0217,0.4,0.2,0.0,0.4,72.29260468015718,55.34564921667392,97,8,hier_jaccard_008,hier_jaccard_011,stl_midamerica_to_st_louis_lambert_2026-03-07_0217,0.6569018712000663,14,9.333333333333334
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0087,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0087,0.1,0.2,0.1,0.6,76.02595473905181,44.69604830911938,97,16,hier_jaccard_016,hier_jaccard_015,stl_midamerica_to_st_louis_lambert_2026-03-07_0087,0.7381718589524136,3,2.0
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-03-07_0177,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0177,0.3,0.1,0.1,0.5,72.98312533939583,53.723215332725786,96,19,hier_jaccard_019,hier_jaccard_019,stl_midamerica_to_st_louis_lambert_2026-03-07_0177,0.774712643678161,3,2.0
