clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,edit_distance_cluster,edit_distance_cluster_source
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0067,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0067,0.1,0.0,0.0,0.9,46.683328700980354,25.4778022211132,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0068,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0068,0.1,0.0,0.1,0.8,47.74820486615568,25.09962675710944,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0077,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0077,0.1,0.1,0.0,0.8,50.26499556893611,25.05124017127677,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0078,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0078,0.1,0.1,0.1,0.7,50.79351841085818,25.17431343813113,68,28,edit_028,edit_018
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0079,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0079,0.1,0.1,0.2,0.6,53.0526055976199,24.55602036673461,67,23,edit_023,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0080,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0080,0.1,0.1,0.3,0.5,54.49163011732751,23.70330008420904,68,23,edit_023,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0086,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0086,0.1,0.2,0.0,0.7,50.79822797046764,24.213670939905384,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0087,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0087,0.1,0.2,0.1,0.6,51.3304938586524,24.438746175293364,68,14,edit_014,edit_004
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0094,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0094,0.1,0.3,0.0,0.6,50.79822797046764,23.35516966162613,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0122,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0122,0.2,0.0,0.0,0.8,46.683328700980354,28.35560444222638,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0123,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0123,0.2,0.0,0.1,0.7,47.21617334139707,28.07500995925048,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0124,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0124,0.2,0.0,0.2,0.6,47.74820486615568,27.59925351421888,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0125,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0125,0.2,0.0,0.3,0.5,48.81322464068012,27.05275177835393,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0132,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0132,0.2,0.1,0.1,0.6,47.22064232112312,28.31148923859458,67,16,edit_016,edit_014
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0133,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0133,0.2,0.1,0.2,0.5,47.21937707182564,28.02809114483486,67,6,edit_006,edit_003
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0134,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0134,0.2,0.1,0.3,0.4,52.51962391550302,27.257835432904063,67,23,edit_023,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0135,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0135,0.2,0.1,0.4,0.3,52.51962391550302,26.422476838879337,67,23,edit_023,edit_019
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0139,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0139,0.2,0.2,0.0,0.6,50.26499556893611,27.50248034255353,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0140,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0140,0.2,0.2,0.1,0.5,50.26417626842154,27.705024398882657,68,14,edit_014,edit_004
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0141,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0141,0.2,0.2,0.2,0.4,51.330299600952166,27.450617371674227,68,14,edit_014,edit_004
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0146,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0146,0.2,0.3,0.0,0.5,50.26499556893611,26.68173269152873,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0147,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0147,0.2,0.3,0.1,0.4,50.79771973612835,26.79608521373568,68,14,edit_014,edit_004
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0152,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0152,0.2,0.4,0.0,0.4,49.73368752232152,25.75334424010284,68,9,edit_009,edit_013
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0168,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0168,0.3,0.0,0.0,0.7,46.683328700980354,31.23340666333956,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0169,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0169,0.3,0.0,0.1,0.6,46.68348381080322,30.960141809209816,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0170,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0170,0.3,0.0,0.2,0.5,47.74820486615568,30.59425224378355,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0171,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0171,0.3,0.0,0.3,0.4,47.74820486615568,30.098880271328305,67,2,edit_002,edit_007
hierarchical_edit_distance,edit_distance,stl_midamerica_to_st_louis_union_station_2026-03-07_0172,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0172,0.3,0.0,0.4,0.3,47.75238873608906,29.43562431836613,67,6,edit_006,edit_003
