route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 04, 05, 06, 08, 18",7,199,001=77; 002=43; 004=31; 005=26; 006=11; 008=9; 018=2,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"02, 03, 06, 07, 08, 12, 17",7,148,002=52; 003=44; 006=17; 007=17; 008=13; 012=4; 017=1,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 04, 05",5,272,001=145; 002=50; 003=45; 004=16; 005=16,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
