clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0004,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0004,0.0,0.0,0.3,0.7,35.445569252782064,27.90339992259691,41,1,hier_jaccard_001,hier_jaccard_004,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0004,0.4494800964591518,211,77.57352941176471,frechet_merged_001,"hier_jaccard_001, hier_jaccard_002, hier_jaccard_004"
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0117,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0117,0.1,0.7,0.1,0.1,42.29837881681064,17.846228530998832,55,3,hier_jaccard_003,hier_jaccard_001,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0117,0.4874110572279266,45,16.544117647058822,frechet_merged_002,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0155,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0155,0.2,0.4,0.3,0.1,42.46106618049611,23.98138153985888,54,5,hier_jaccard_005,hier_jaccard_003,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-03-09_0155,0.5805820695771269,16,5.882352941176471,frechet_merged_003,hier_jaccard_005
