route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 03, 04, 06, 05, 11, 12, 14",8,161,001=57; 003=29; 004=24; 005=15; 006=15; 011=8; 012=7; 014=6,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"01, 06, 07, 08, 09, 13, 16",7,156,001=89; 006=21; 007=16; 008=14; 009=12; 013=3; 016=1,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 05, 10",5,255,001=140; 002=74; 003=29; 005=11; 010=1,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
