clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0133,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0133,0.2,0.1,0.2,0.5,72.99215841467418,45.69386426631191,96,1,hier_jaccard_001,hier_jaccard_002,stl_midamerica_to_st_louis_lambert_2026-01-10_0133,0.8756175161285904,63,39.130434782608695,frechet_merged_001,"hier_jaccard_001, hier_jaccard_014"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0158,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0158,0.2,0.5,0.1,0.2,73.96790237425417,37.35290671544306,100,3,hier_jaccard_003,hier_jaccard_003,stl_midamerica_to_st_louis_lambert_2026-01-10_0158,0.7672850288011108,29,18.012422360248447,frechet_merged_002,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0226,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0226,0.4,0.4,0.0,0.2,73.20963090489165,49.12283602550907,98,4,hier_jaccard_004,hier_jaccard_004,stl_midamerica_to_st_louis_lambert_2026-01-10_0226,0.999128075167868,24,14.906832298136646,frechet_merged_003,hier_jaccard_004
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0183,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0183,0.3,0.2,0.0,0.5,72.29260468015718,52.14938056079359,97,5,hier_jaccard_005,hier_jaccard_007,stl_midamerica_to_st_louis_lambert_2026-01-10_0183,0.6239213250120216,15,9.316770186335404,frechet_merged_004,hier_jaccard_005
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0067,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0067,0.1,0.0,0.0,0.9,71.90057520712594,49.49312327714821,96,6,hier_jaccard_006,hier_jaccard_013,stl_midamerica_to_st_louis_lambert_2026-01-10_0067,0.4490798702110864,15,9.316770186335404,frechet_merged_005,hier_jaccard_006
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0209,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0209,0.4,0.0,0.5,0.1,72.4722063486134,43.746759695677454,96,11,hier_jaccard_011,hier_jaccard_020,stl_midamerica_to_st_louis_lambert_2026-01-10_0209,0.3555188199818289,8,4.968944099378882,frechet_merged_006,hier_jaccard_011
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_lambert_2026-01-10_0112,midamerica_to_st_louis_lambert,MidAmerica to St. Louis Lambert,w_0112,0.1,0.6,0.0,0.3,90.0929044869205,32.40865752082237,119,12,hier_jaccard_012,hier_jaccard_010,stl_midamerica_to_st_louis_lambert_2026-01-10_0112,1.7336231820962498,7,4.3478260869565215,frechet_merged_007,hier_jaccard_012
