clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0002,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0002,0.0,0.0,0.1,0.9,35.069056570701854,31.370407955772865,40,1,hier_jaccard_001,hier_jaccard_004,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0002,0.5034305087243097,225,88.23529411764706,frechet_merged_001,"hier_jaccard_001, hier_jaccard_002, hier_jaccard_005"
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0119,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0119,0.1,0.8,0.0,0.1,41.77074742931658,16.059358768896814,55,3,hier_jaccard_003,hier_jaccard_003,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0119,0.44368224232127296,29,11.372549019607844,frechet_merged_002,hier_jaccard_003
hierarchical_jaccard,jaccard,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0085,st_louis_downtown_airport_to_st_louis_lambert,St. Louis Downtown Airport to St. Louis Lambert,w_0085,0.1,0.1,0.8,0.0,40.72661433095241,15.176473954598592,48,10,hier_jaccard_010,hier_jaccard_010,stl_st_louis_downtown_airport_to_st_louis_lambert_2026-01-10_0085,0.0,1,0.39215686274509803,frechet_merged_003,hier_jaccard_010
