clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-07_0238,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0238,0.5,0.1,0.0,0.4,46.68855540718086,36.96935411859173,67,8,hier_jaccard_008,hier_jaccard_010,stl_midamerica_to_st_louis_union_station_2026-03-07_0238,1.1767306629191163,79,75.96153846153847,frechet_merged_001,"hier_jaccard_002, hier_jaccard_004, hier_jaccard_008"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-07_0264,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0264,0.6,0.2,0.2,0.0,46.66182130627588,37.90454424289503,67,7,hier_jaccard_007,hier_jaccard_008,stl_midamerica_to_st_louis_union_station_2026-03-07_0264,0.6744780981954958,18,17.307692307692307,frechet_merged_002,"hier_jaccard_007, hier_jaccard_021"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2026-03-07_0215,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0215,0.4,0.1,0.4,0.1,47.21401344705753,31.894664004925755,67,13,hier_jaccard_013,hier_jaccard_013,stl_midamerica_to_st_louis_union_station_2026-03-07_0215,0.9141020778812907,7,6.730769230769231,frechet_merged_003,hier_jaccard_013
