clustering_method,distance_method,route_run_id,route_pair,route_pair_label,weight_id,distance_weight,population_weight,traffic_weight,airspace_weight,route_distance_km,total_weighted_score,path_nodes,direct_cluster_number,hierarchical_jaccard_cluster,hierarchical_jaccard_cluster_source,representative_route_run_id,representative_mean_frechet_miles,cluster_size,cluster_weight_space_percent,merged_cluster_id,source_jaccard_clusters
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-14_0183,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0183,0.3,0.2,0.0,0.5,48.66685213560263,30.668041392314706,68,6,hier_jaccard_006,hier_jaccard_006,stl_midamerica_to_st_louis_union_station_2025-07-14_0183,1.1358675515506482,119,77.27272727272727,frechet_merged_001,"hier_jaccard_002, hier_jaccard_003, hier_jaccard_006, hier_jaccard_007, hier_jaccard_011"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-14_0256,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0256,0.6,0.0,0.3,0.1,46.68183425455876,35.341245684057895,67,9,hier_jaccard_009,hier_jaccard_010,stl_midamerica_to_st_louis_union_station_2025-07-14_0256,0.5860826916668588,15,9.74025974025974,frechet_merged_002,hier_jaccard_009
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-14_0153,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0153,0.2,0.4,0.1,0.3,50.807803255887286,24.214091189032807,68,13,hier_jaccard_013,hier_jaccard_012,stl_midamerica_to_st_louis_union_station_2025-07-14_0153,0.7603919037469051,8,5.194805194805195,frechet_merged_004,"hier_jaccard_013, hier_jaccard_017"
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-14_0210,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0210,0.4,0.0,0.6,0.0,49.35121742079236,23.48461345098499,67,12,hier_jaccard_012,hier_jaccard_009,stl_midamerica_to_st_louis_union_station_2025-07-14_0210,1.0465535266280983,7,4.545454545454546,frechet_merged_003,hier_jaccard_012
hierarchical_jaccard,jaccard,stl_midamerica_to_st_louis_union_station_2025-07-14_0267,midamerica_to_st_louis_union_station,MidAmerica to St. Louis Union Station,w_0267,0.6,0.4,0.0,0.0,46.66599661404935,37.76103496698872,67,14,hier_jaccard_014,hier_jaccard_016,stl_midamerica_to_st_louis_union_station_2025-07-14_0267,0.07921369919445036,5,3.2467532467532467,frechet_merged_005,hier_jaccard_014
