route_pair,clustering_method,distance_method,selected_cluster_numbers,selected_cluster_count,selected_route_count,cluster_sizes,csv_file,geojson_file
midamerica_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 04, 03, 06, 05, 07, 11, 18",8,195,001=88; 003=24; 004=24; 005=18; 006=18; 007=15; 011=7; 018=1,midamerica_to_st_louis_lambert_hierarchical_jaccard.csv,midamerica_to_st_louis_lambert_hierarchical_jaccard.geojson
midamerica_to_st_louis_union_station,hierarchical_jaccard,jaccard,"02, 03, 06, 07, 09, 11, 12, 13, 14, 17",10,154,002=45; 003=27; 006=20; 007=18; 009=15; 011=9; 012=7; 013=5; 014=5; 017=3,midamerica_to_st_louis_union_station_hierarchical_jaccard.csv,midamerica_to_st_louis_union_station_hierarchical_jaccard.geojson
st_louis_downtown_airport_to_st_louis_lambert,hierarchical_jaccard,jaccard,"01, 02, 03, 04, 13",5,253,001=146; 002=56; 003=30; 004=20; 013=1,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.csv,st_louis_downtown_airport_to_st_louis_lambert_hierarchical_jaccard.geojson
